protein_id,helix_ref,beta_ref,helix_avg,beta_avg,helix_best,beta_best,rmsd_best,n_ensemble
2K8R-1_A,0.0,0.2932330827067669,0.0,0.37097744360902263,0.0,0.38345864661654133,3.5803165435791016,50
1XSA-23_A,0.20915032679738563,0.3006535947712418,0.014248366013071894,0.3364705882352941,0.058823529411764705,0.35294117647058826,3.025319814682007,50
1K2H-4_A,0.5913978494623656,0.043010752688172046,0.5853763440860215,0.04344086021505377,0.5268817204301075,0.043010752688172046,5.955379486083984,50
2D9E-12_A,0.6115702479338843,0.0,0.5393388429752066,0.0,0.5785123966942148,0.0,2.676567792892456,50
1P7M-18_A,0.5240641711229946,0.0213903743315508,0.5168983957219252,0.021390374331550804,0.5133689839572193,0.0213903743315508,2.256147623062134,50
1EX6_B,0.1984732824427481,0.09669211195928754,0.40602150537634407,0.22451612903225807,0.41935483870967744,0.22580645161290322,2.664046049118042,50
2AI6-18_A,0.208,0.328,0.02848,0.32384,0.0,0.32,2.9023537635803223,50
1MO8-14_A,0.20187793427230047,0.09389671361502347,0.05577464788732394,0.05577464788732394,0.06103286384976526,0.046948356807511735,15.44576644897461,50
2KXL-8_A,0.3591549295774648,0.24647887323943662,0.37239436619718314,0.24633802816901407,0.36619718309859156,0.24647887323943662,3.4558069705963135,50
1TJD_A,0.375,0.20833333333333334,0.33898148148148144,0.20601851851851855,0.3101851851851852,0.2037037037037037,2.675509452819824,50
2VCD-8_A,0.2116788321167883,0.30656934306569344,0.14043795620437954,0.31751824817518254,0.12408759124087591,0.32116788321167883,1.7165842056274414,50
2F63-4_A,0.23417721518987342,0.12025316455696203,0.2711392405063291,0.25544303797468354,0.2848101265822785,0.25949367088607594,2.368009567260742,50
1ROE-10_A,0.061855670103092786,0.16494845360824742,0.16,0.31608247422680413,0.18556701030927836,0.26804123711340205,4.202966213226318,50
1CZ2-8_A,0.5333333333333333,0.0,0.6173333333333333,0.0,0.6111111111111112,0.0,2.2700283527374268,50
1PUN-7_A,0.13178294573643412,0.20155038759689922,0.12248062015503876,0.4110077519379845,0.11627906976744186,0.43410852713178294,3.6144819259643555,50
1WCW_A,0.20781527531083482,0.09236234458259325,0.00031496062992125983,0.1746456692913386,0.0,0.18503937007874016,2.0038564205169678,50
1ZFS-13_B,0.6021505376344086,0.043010752688172046,0.5709677419354837,0.04430107526881721,0.5483870967741935,0.043010752688172046,2.63275408744812,50
1VHL_A,0.2288135593220339,0.05296610169491525,0.5202884615384615,0.12346153846153847,0.5240384615384616,0.12980769230769232,1.7934750318527222,50
2LKC-4_A,0.2640449438202247,0.14606741573033707,0.23516853932584272,0.20595505617977528,0.23595505617977527,0.20224719101123595,6.882128715515137,50
1ZOL_A,0.19206680584551147,0.04801670146137787,0.4846153846153846,0.11728506787330316,0.48868778280542985,0.11312217194570136,1.8011504411697388,50
1NTR-7_A,0.3225806451612903,0.14516129032258066,0.4291935483870967,0.1833870967741936,0.4435483870967742,0.1774193548387097,4.382267475128174,50
1UR6-4_A,0.3129251700680272,0.14285714285714285,0.33374149659863944,0.18258503401360549,0.3469387755102041,0.17006802721088435,2.321580648422241,50
1TNQ-33_A,0.5777777777777777,0.0,0.6357777777777778,0.06577777777777777,0.6333333333333333,0.06666666666666667,5.239706516265869,50
1S2O_A,0.1467116357504216,0.0893760539629005,0.35262295081967215,0.2154918032786885,0.36065573770491804,0.22131147540983606,1.750947117805481,50
1JM4-15_B,0.4915254237288136,0.0,0.5491525423728814,0.0,0.576271186440678,0.0,4.9582438468933105,50
1RRO_A,0.48148148148148145,0.037037037037037035,0.55,0.03518518518518518,0.5648148148148148,0.037037037037037035,1.316349744796753,50
2CG6_A,0.0,0.5888888888888889,0.0,0.5391111111111111,0.0,0.5,6.270231246948242,50
1MO7-3_A,0.2300469483568075,0.12206572769953052,0.02431924882629108,0.050234741784037557,0.03755868544600939,0.056338028169014086,15.430755615234375,50
1VIY_C,0.29085872576177285,0.06925207756232687,0.4921153846153847,0.12567307692307694,0.4567307692307692,0.11538461538461539,1.9799392223358154,50
1RTP_1,0.5688073394495413,0.03669724770642202,0.536697247706422,0.045871559633027525,0.5321100917431193,0.03669724770642202,1.1347200870513916,50
1JKN-15_A,0.21818181818181817,0.2787878787878788,0.007272727272727273,0.28739393939393937,0.0,0.28484848484848485,3.7922329902648926,50
1JFJ-3_A,0.582089552238806,0.07462686567164178,0.452089552238806,0.020895522388059706,0.41044776119402987,0.0,7.448346138000488,50
1LAH_E,0.3067226890756303,0.19327731092436976,0.09428571428571429,0.2321008403361344,0.03361344537815126,0.24369747899159663,1.5050153732299805,50
1LIP-2_A,0.4945054945054945,0.0,0.4610989010989011,0.0,0.5714285714285714,0.0,1.8297209739685059,50
1AEL-12_A,0.030534351145038167,0.04580152671755725,0.11190839694656488,0.5984732824427481,0.061068702290076333,0.6183206106870229,2.5261547565460205,50
2RCS_H,0.0,0.5023041474654378,0.0003686635944700461,0.5286635944700461,0.0,0.5345622119815668,4.119892120361328,50
1JTB-6_A,0.5274725274725275,0.0,0.5301098901098902,0.0,0.27472527472527475,0.0,2.541956663131714,50
2CG7_A,0.0,0.5888888888888889,0.0,0.5428888888888889,0.0,0.5444444444444444,1.9583091735839844,50
1SKT-10_A,0.5777777777777777,0.0,0.5075555555555555,0.05377777777777777,0.45555555555555555,0.0,3.191390037536621,50
1QJ8_A,0.0,0.8175675675675675,0.0,0.7232432432432432,0.0,0.7364864864864865,2.713003158569336,50
2K43-1_A,0.0,0.40601503759398494,0.0006015037593984962,0.34842105263157896,0.0,0.3684210526315789,2.480720281600952,50
2JU8-9_A,0.10236220472440945,0.5748031496062992,0.12614173228346456,0.5833070866141732,0.12598425196850394,0.5905511811023622,1.7853505611419678,50
1EQM_A,0.2848101265822785,0.2848101265822785,0.2922784810126583,0.2529113924050633,0.2848101265822785,0.23417721518987342,2.576416492462158,50
1JFK_A,0.5746268656716418,0.08955223880597014,0.5107462686567164,0.03194029850746269,0.4253731343283582,0.04477611940298507,9.3652925491333,50
2NLN-4_A,0.4444444444444444,0.037037037037037035,0.5198148148148148,0.03407407407407407,0.5370370370370371,0.037037037037037035,3.8272132873535156,50
1WD7_B,0.22199170124481327,0.0954356846473029,0.012362204724409447,0.17393700787401575,0.0,0.18110236220472442,4.317806243896484,50
1IJA-15_A,0.02702702702702703,0.34459459459459457,0.028378378378378376,0.36986486486486486,0.02702702702702703,0.3716216216216216,4.003632068634033,50
2L51-15_B,0.5686274509803921,0.0,0.5780392156862746,0.00392156862745098,0.5490196078431373,0.0,3.5046677589416504,50
1FMF-4_A,0.35036496350364965,0.22627737226277372,0.013722627737226276,0.05109489051094891,0.0,0.21897810218978103,14.412345886230469,50
2JWW-13_A,0.5412844036697247,0.0,0.5390825688073395,0.04440366972477065,0.5412844036697247,0.03669724770642202,2.759321689605713,50
2L50-24_A,0.6078431372549019,0.0,0.5849019607843138,0.017254901960784313,0.6078431372549019,0.0,3.3058362007141113,50
1TJ5_A,0.16926070038910507,0.10311284046692606,0.2145081967213115,0.2086885245901639,0.3155737704918033,0.19262295081967212,2.0409188270568848,50
1URE-8_A,0.10687022900763359,0.2900763358778626,0.11832061068702289,0.5938931297709924,0.1297709923664122,0.5954198473282443,1.5945031642913818,50
1ID8-11_A,0.34306569343065696,0.18248175182481752,0.01781021897810219,0.05416058394160584,0.0,0.145985401459854,14.83869743347168,50
