,ID,RMSD_Fold
0,2K8R-1_A,4.0114277601242065
1,1RZM_A,9.097104668617249
2,1XSA-23_A,3.9134329557418823
3,1K2H-4_A,6.585628390312195
4,1QFE_B,0.42134877294301987
5,2D9E-12_A,3.8950252532958984
6,1P7M-18_A,2.2637873888015747
7,2P3M-16_A,2.0896773040294647
8,1Z15_A,6.108493804931641
9,1A6E_A,1.9589097797870636
10,1MX7-20_A,1.9700178503990173
11,6OY9_B,2.207556664943695
12,1EX6_B,1.300940364599228
13,5DOW_A,17.329496145248413
14,1RPJ_A,0.9754333645105362
15,2AI6-18_A,2.469135671854019
16,1MO8-14_A,19.66942310333252
17,2KXL-8_A,4.226155579090118
18,1EL1_A,0.8053231984376907
19,2LKK-10_A,1.3086886703968048
20,1TJD_A,2.4967314302921295
21,1G6W_D,1.0482481867074966
22,1B6H_A,0.6480720639228821
23,2VCD-8_A,1.503949761390686
24,2F63-4_A,1.9468650221824646
25,2VBT_A,1.6659244894981384
26,1NJF_A,0.9640642255544662
27,2B0F_A,1.627449095249176
28,1RKM_A,2.834693193435669
29,1ROE-10_A,4.436921775341034
30,1CZ2-8_A,2.6958250999450684
31,1TFU_A,1.0736610740423203
32,2FHM-12_A,1.4767302572727203
33,1E1R_F,2.9695969820022583
34,1PUN-7_A,4.030726253986359
35,1WCW_A,1.767943650484085
36,1ZFS-13_B,2.123190611600876
37,1VHL_A,2.5522148609161377
38,2LKC-4_A,8.071934580802917
39,2BNH_A,1.308591216802597
40,1ZOL_A,2.8619009256362915
41,1RF4_A,0.9130609035491943
42,1NTR-7_A,4.378466606140137
43,1K6W_A,0.8474807441234589
44,1UR6-4_A,2.173437476158142
45,1TNQ-33_A,3.1939178705215454
46,2DRI_A,0.5166992917656898
47,1S2O_A,3.1197285652160645
48,1JEJ_A,1.4364922046661377
49,1SSP_E,1.3210685551166534
50,1JM4-15_B,2.945811152458191
51,7AZP_A,3.6032018065452576
52,3CLN_A,3CLN_A has the wrong length
53,1BV2-3_A,1.6794829070568085
54,1GQN_A,1.2537147104740143
55,1RRO_A,0.6157537177205086
56,3UC5_A,0.7193047553300858
57,2L68-9_A,1.475636065006256
58,1K70_A,1.081838384270668
59,1FIL_A,0.9223902225494385
60,1FSF_A,0.94350166618824
61,2CG6_A,6.192749738693237
62,1MO7-3_A,20.82662343978882
63,1VIY_C,2.795777916908264
64,1RTP_1,0.4624359682202339
65,2AU6_A,0.8095327019691467
66,1K0B_C,0.7578922063112259
67,1JKN-15_A,2.7055707573890686
68,1MX8-25_A,1.4577622711658478
69,1O1V-5_A,1.7100879549980164
70,4PJ1_A,10.74873685836792
71,1A0R_B,2.362053692340851
72,1URP_D,3.9115795493125916
73,1JFJ-3_A,13.615270853042603
74,1GY9_A,1.2325876206159592
75,1K5H_A,4.8446425795555115
76,4P2Y_A,7.889837622642517
77,1LAH_E,0.4277883470058441
78,1C54-19_A,1.5009863674640656
79,1LIP-2_A,2.2782014310359955
80,1EIO-3_A,2.1534284949302673
81,1DMO-18_A,15.345380306243896
82,1EVL_A,1EVL_A has the wrong length
83,1Y3N_A,1Y3N_A has the wrong length
84,1YL5_B,2.255038768053055
85,1AEL-12_A,2.485528588294983
86,1ZA1_A,1.239878386259079
87,2RCS_H,5.376092195510864
88,1Y3Q_A,1Y3Q_A has the wrong length
89,1JTB-6_A,2.955469787120819
90,2CG7_A,0.9254872798919678
91,1SKT-10_A,5.052908658981323
92,1GUD_A,4.081392586231232
93,1QJ8_A,1.281876116991043
94,1JG6_A,1.023682877421379
95,2K43-1_A,2.8678086400032043
96,2JU8-9_A,1.8199820816516876
97,1GQZ_A,1.8076281249523163
98,1E5L_A,1.7711164057254791
99,1RKA_A,1.5479600429534912
100,2KW4-19_A,11.217104196548462
101,1UVB_A,1.1681488156318665
102,1EQM_A,3.9666464924812317
103,1IGP_A,0.972558781504631
104,1JFK_A,13.295825719833374
105,2NLN-4_A,3.898136019706726
106,1WD7_B,5.118653178215027
107,1IJA-15_A,3.343174457550049
108,1AW2_A,1.1119867861270905
109,1GQT_A,2.363780438899994
110,2L51-15_B,4.582315981388092
111,1G51_A,1G51_A has the wrong length
112,1FMF-4_A,16.625337600708008
113,2JWW-13_A,2.656882405281067
114,1Q0Q_A,1.130756363272667
115,1HW1_B,0.8012094348669052
116,1H9G_A,1.7363834381103516
117,2L50-24_A,3.622651696205139
118,1TJ5_A,0.5828770622611046
119,4LP5_A,5.893596410751343
120,1W0J_E,1.276993602514267
121,1AKZ_A,0.5619079992175102
122,1URE-8_A,1.4987283945083618
123,2BEM_A,0.43527036905288696
124,1YHO-9_A,1.6157853603363037
125,1L0W_B,1.7617562413215637
126,1RF5_A,3.078557550907135
127,1ID8-11_A,17.107210159301758
128,1Z17_A,0.7156804203987122
129,1PFL-19_A,2.0833760499954224
130,1YL7_A,1.8200109899044037
131,1A6D_A,2.0371316373348236
132,2ECK_B,22.694480419158936
133,1RGH_B,0.46332720667123795
134,2HLT-19_A,0.9062422066926956
135,1Q95_A,1.500902771949768
136,4AKE_B,21.236655712127686
137,1CFC_A,17.869656085968018
138,1GH1-7_A,2.5330257415771484
139,1AJ7_H,2.6196569204330444
140,2RS9-13_B,3.118504285812378
141,1F3Y-17_A,3.3595016598701477
142,1EEJ_B,3.016405701637268
143,2UZ5-9_A,3.1547680497169495
144,2LHS-6_A,1.4794325828552246
145,1XSC-20_A,3.0480989813804626
146,2LAO_A,4.666823446750641
147,1I56_A,2.006933093070984
148,1O1U-9_A,1.5555563569068909
149,1EX7_A,3.388170003890991
150,1NJG_B,1.568649709224701
151,2K0G-9_A,3.067808449268341
152,1HSI_B,1.4311613142490387
153,1EAL-2_A,1.4241887629032135
154,2IN2_A,1.7348112165927887
155,1ORM-9_A,5.655745267868042
156,1VR6_A,1.875808835029602
157,1EVK_A,1.175033375620842
158,2OZW-3_A,3.1833690404891968
159,1CG0_A,1.1904404312372208
160,1HOO_B,1.7259033024311066
161,1O03_A,0.9872891008853912
162,1OTJ_D,0.8613964170217514
163,2KID-4_A,2.386833131313324
164,1HSH_D,1.2103327363729477
165,1W4U-9_A,2.2811491787433624
166,2KQ2-6_A,9.392946362495422
167,1AW1_B,0.5901973694562912
168,1XYD-15_B,1.8940715491771698
169,1PDB_A,1.0045959055423737
170,2GKE_A,2.6143494248390198
171,1SYM-2_B,6.299455165863037
172,1WUM_A,3.945125639438629
173,2JU3-3_A,3.0576330423355103
174,1LMZ-9_A,3.4027913212776184
175,1E5Q_A,1.0269585996866226
176,2LKD-18_A,5.1629990339279175
177,2CJO-5_A,1.4797472953796387
178,1MUT-11_A,3.7072014808654785
179,1FQO_B,0.47915879637002945
180,1KRX-4_A,3.5121160745620728
181,1DFJ_I,1.1891993880271912
